Index,L1,L2,L3,L4,L5,L6,L7,L8,L9,A1,A2,A3,A4,A5,A6,A7,A8,R1,R2,R3,R4,R5,R6,R7,R8,t,L,max_load (N)
4807,3.3,0.7,1.1,1.4,11.3,28.5,30,3.58,0,66.56,96.14,101.6,95.34,110.72,101.7,102.01,100.57,7.2,7,6.4,6,6.4,7.2,7.2,8,1.2,930,7019.654296875
335,16.9,5,32.8,6.7,18.2,33,30,22.22,0.3,98.6,99.7,154.02,154.15,143.66,144.58,102.1,101.99,6.2,6,7.2,7.6,6.6,6.6,6,7.6,1.7,1030,14980.44140625
11092,5.3,11,13.5,11.2,7.5,34.5,31,20.08,-2.88,97.51,98.68,129.59,128.87,126.74,130.25,102.59,103.52,6,7.2,8,6,7.6,7.4,7.2,6.4,1.5,954,9313.6044921875
16704,7.9,11.1,10.3,5.8,6.6,32.5,32.5,19.16,-2.77,98.01,97.51,129.72,130.69,127.51,128.2,101.15,102.7,6.4,6,6.8,6.4,6.4,7.8,7.2,7.8,1.3,1034,7956.74658203125
3731,2.5,3.7,3.9,3.2,3.6,30.5,32.5,3.7,0.75,103.1,104.47,101.8,96.73,104.59,93.27,111.67,109.63,7,6.6,6,6.8,6.6,7.6,6.2,6.6,1.2,936,5630.48828125
7309,4.3,8.4,17.5,13.2,11.1,25.5,26.5,0.31,-0.82,95.61,95.87,101.61,106.88,94.46,98.67,92.8,95.9,7.8,7.6,8,7,7.4,7,7.6,7.8,1.4,1054,11564.681640625
4680,6.3,1.3,3.3,1,6.8,27,26,4.02,5.46,101.5,94.07,102.51,96.53,103.62,99.56,97.29,99.8,8,6.2,8,6.8,6.4,6,7,6.8,1.8,990,13752.818359375
4560,0.4,1.7,0.3,1.1,4,33.5,25,3.86,1.56,97.22,97.27,97.21,98.8,101.33,97.61,96.24,100.98,6.8,7.4,6.2,8,6.4,6,7.8,6.2,1.7,956,21204.421875
2482,7.6,3.6,2.5,0.7,4.9,28.5,28,3.25,4.04,98.9,94.55,103.79,101.4,100.87,99.77,95.48,99.97,6,6.6,7.6,6.2,6.2,6.2,7.8,7.4,1.3,992,7803.71044921875
8752,0.7,2.5,0.8,0.3,3,28,25.5,3.73,2.95,95.83,108.81,83.96,104.53,97.21,107.19,89.23,98.2,6.6,7.4,7.6,7.8,8,7.2,6.8,7.8,1.3,964,9379.1220703125
3446,5.6,3.7,4.2,3.7,3.8,32,26.5,4.32,0.75,103.62,104.57,99.3,96.83,105.66,92.17,114.27,108.01,7.6,6.6,7.4,8,7.2,7.6,6.6,7.6,1.8,914,14717.443359375
5601,5.3,6.8,11.1,6.9,3.3,26.5,28,2.81,1.89,97.31,99.38,101.82,102.88,104.01,99.69,99.1,100.8,7,6.4,7,6.4,7.6,7,8,6.8,1.2,1028,9414.84765625
8830,1.2,2.7,3,1.7,10.3,29.5,26,2.71,4.25,131.22,112.97,120.37,127.21,122.57,124.45,110.82,119,8,7.4,6.4,6.2,7.6,7.6,6.8,6.4,1.3,952,8099.419921875
12524,7.6,9.9,0.7,8.6,1,27.5,32,0,-4.04,116.09,110.48,88.35,105.02,97.02,118.09,80.62,90.74,7.2,7.4,6.8,7.2,6.8,6.4,6.8,7.6,1.3,962,6993.705078125
6969,3.3,4.5,0.7,3.4,2.8,27,30.5,4.16,1.5,99.3,95.25,98.19,101.08,102.57,99.9,96.43,97.81,8,6,7.8,6.4,7.2,8,6,7.6,1.4,1044,10216.08984375
8544,10.4,11.2,23,11.7,6.9,32.5,26,-3.35,-4.88,100.49,96.43,104.02,100.36,95.55,93.75,110.33,105.97,7,6,7.4,6.4,6.6,6.2,8,7,1.2,990,11284.537109375
15529,0.9,5.8,20.2,7,0.3,34.5,33.5,0.27,1.07,99.68,98.08,99.89,100.2,97.02,103.94,97.21,102.23,7.4,7,7.8,6.4,6.8,6.8,6.6,6,1.7,904,10366.9169921875
14687,3.9,3.3,0.5,3.7,1.7,31,35,3.61,3.13,97.57,107.52,86.27,105.05,99.37,105.8,89.05,98.9,6.6,6.2,6.4,7.4,8,6.4,6.6,7.4,1.5,1058,12965.4169921875
1536,22.3,5.5,32.1,4.6,21.8,34.5,30,25.34,0.28,98.79,101.19,149.6,152.14,141.96,142.42,104.35,104.14,6,6,7.4,6.2,6.2,8,7,8,1.3,1042,10912.1953125
16396,2.6,7.4,3.4,7.6,3.2,32.5,32,0,-3.62,116.56,110.81,90.3,105.75,97.52,120.38,81.77,92.59,7.8,7,7,6,6,6.8,6.6,6.2,1.4,910,9393.556640625
14055,3.1,7.1,13.2,5.5,6.9,28,31,2.56,1.98,100.29,98.1,105.98,101.85,105.57,100.38,101.3,100.6,7,7.6,7.4,6.4,7.2,6.6,6.8,6.6,1.2,984,5977.9130859375
3402,3.2,12.4,23.1,13.4,10,28.5,32,0.33,-0.75,97.62,95.87,100.5,103.5,95.81,97.6,92.7,93.07,7.2,6.6,7.6,7.2,6.8,7,6.6,6.2,1.2,964,7901.7236328125
14814,3.9,0.8,1.9,3,5.6,27,28.5,-3.09,0,65.97,95.25,103.4,103.3,100.18,101.6,100.67,59.29,6.6,6.8,7.2,8,7.2,7,6.2,6.8,1.6,1038,21711.23046875
2813,2.1,8.3,1.6,0.4,3,32,31.5,0.59,0,71.96,101.3,108.28,118.58,92.78,110.45,94.23,67.36,6.4,6.6,6.6,6.8,7,7,7.4,7.8,1.3,908,11650.3271484375
11510,4.4,9.6,1.1,11,3.7,30.5,26,0,-3.66,118.79,113.18,87.72,105.23,99.19,122.55,80.87,91.02,6,7.4,7,6.2,8,7.6,6.4,7.6,1.4,916,12509.9580078125
11973,2.2,6.3,3.6,4.6,2.5,27.5,25.5,3.7,1.47,98.31,95.92,97.61,101.08,103.5,100.2,99.76,100.19,7.4,7.2,6.8,6.8,7.8,6,7.8,6.8,1.4,912,6260.6279296875
1473,4.6,12.2,1.4,9.5,3.1,28,30,0,-3.63,119.5,111.15,88.52,102.62,99.29,118.33,83,93.15,6.8,6.2,6.6,7.4,6.2,6,7.8,7.8,1.2,926,10720.6142578125
12179,4,0.5,2.6,0.5,5.8,33,33.5,3.03,0,67.64,97.61,102.92,94.39,111.72,101.8,102.31,98.4,7.8,7.6,7.2,6,6.8,6.6,6.6,6.2,1.5,914,18358.57421875
4171,19.2,2,32.3,4.6,19.8,25,33,21.79,0.33,96.73,98.41,153.11,152.45,144.66,145.15,102.1,104.04,6.4,6.2,8,7.4,7.8,6,6.4,7.8,1.8,1048,12580.396484375
6853,8.5,8.3,14.7,5.9,5.9,33,33.5,2.37,1.89,100.49,96.83,102.76,102.88,102.25,98.6,100.6,99.8,7.2,7,7.8,6,7.8,7.8,6.4,6,1.4,984,9694.9599609375
11020,2.9,10.5,4,10,0.2,26,30,0,-4.05,117.85,110.25,90.3,103.04,98.9,118.81,80.62,91.02,7.4,7,7,7.6,6.8,7.6,6.4,6.2,1.7,1028,19720.173828125
11325,3.3,0.1,0.5,2.9,0.6,28,26,4.06,2.98,96.8,105.06,86.7,102.15,97.41,107.51,90.77,100.4,7.8,7.8,6.2,7,6.6,7.8,7.2,6.8,1.3,920,9115.3544921875
13928,4.3,1.8,1.7,6.7,0.5,26.5,30.5,1.93,-5,98.2,101.91,99.58,102.2,105.55,96.43,105.91,102.68,7.8,6,7,7.8,6.8,6.6,6.6,6.8,1.3,994,6076.013671875
3354,8.5,13.3,19.8,13.5,11.5,28,28,0.31,-0.79,95.61,94.53,99.69,106.45,95.9,99.55,94.68,93.83,7.4,7,7,6.4,6,7.4,6.8,6,1.6,980,11598.2998046875
4969,7.3,3.9,4,5.1,7.6,31,31,3.83,0.81,101.35,104.57,101.5,100.27,106.19,90.79,111.56,106.71,6.4,6.8,7.6,6.4,6.8,6.2,6,6.8,1.5,940,8874.955078125
465,4.5,4.8,3.7,5.7,4.7,25.5,31.5,4.15,1.58,98.9,95.63,95.94,99.7,103.71,98.8,98,99.69,6.8,6.8,6.8,7.2,6.6,6,6.8,7,1.7,958,10566.068359375
8170,1.7,2.6,1,2.9,1.5,25.5,28,-2.93,0,64.61,94.96,104.54,101.54,101.9,101.8,99.98,61.17,7.2,7,6.4,7.2,7.8,7.8,6,7.2,1.3,1046,12869.5400390625
613,5.5,5,11.4,5.1,8.6,31,26.5,2.54,-8.86,102.92,101.47,100.7,104.45,100.59,102.21,100.1,99.19,7.6,6.2,6.4,7.2,7.4,8,7.6,6.8,1.4,944,7937.83984375
3551,2.1,4.5,3,6.3,0.3,28.5,33.5,2.18,-5.05,99.68,100.9,100.49,102.3,103.05,97.11,105.58,105.26,7.2,7,6.4,7.4,8,7,6.6,7.6,1.6,914,10248.7744140625
7035,2.8,2.1,1.7,2.2,6.7,34.5,27,2.99,4.21,126.71,112.18,125.03,124.55,120.63,128.63,108.39,117.13,7.6,7.8,6,7,6.6,7,7.4,6,1.7,916,21683.0859375
15397,6.3,2.1,0.6,0.6,3.6,29,26,4.18,2.98,98.34,108.38,87.21,105.57,99.47,109.23,92.22,98.6,6.6,7.8,7.6,7.2,7.4,8,6.4,7,1.3,930,11711.291015625
6469,4.1,1.6,5,3.3,6.2,35,31.5,3.73,0.81,104.13,103.31,99.4,99.48,104.38,90.7,110.88,105.96,7.8,7.6,6.2,6.6,6.2,6.2,6.2,7.2,1.3,1030,7830.9794921875
4333,0.6,14.3,8.5,12.7,2.8,26.5,25.5,-9.82,-1.18,10.13,82.63,103.73,91.87,93.35,79.96,104.75,12.14,7.8,6.2,6.8,6.4,7.8,7,6.2,6.6,1.3,1000,7788.21142578125
2819,6,12.5,26.9,14.6,7.1,27,34.5,-3.46,-5.48,97.71,99.77,104.85,101.79,97.5,93.1,111.89,106.82,6.4,6.4,8,6.4,7.8,7.4,6.6,8,1.7,1040,11345.833984375
16647,5.7,11.4,2.6,2.5,1.5,31.5,27.5,0.62,0,70.83,100.39,108.93,120.52,92.5,111.35,93.18,68.85,6,7,6.4,6,7.8,6.4,6.8,7.2,1.5,1040,15476.841796875
16451,15.9,8.8,17.5,2.9,18.4,35,27.5,3.27,-7.98,94.95,98.2,99.27,99.97,99.39,97.91,98.8,96.53,7,6.8,6.8,7.8,7.6,7.6,6.8,6.8,1.7,922,17957.033203125
17114,15.7,7.1,19.7,5.6,19.8,26.5,29.5,3.05,-7.79,95.73,96.53,97.7,97.22,102.51,100.99,99.7,96.33,7.8,6.4,6.8,7.8,6.8,7.8,6,6,1.4,918,14859.40234375
15982,4.4,4,1.2,6.7,0.9,30,32,2.14,-5.07,96.63,100.8,103.33,102.61,102.43,97.99,105.37,102.68,6.2,8,6.2,6.4,6,7.2,6.8,7.4,1.2,902,8492.74609375
1076,2.7,2.5,1.4,1.1,5,31.5,27.5,4.05,0.88,101.46,106.26,99.1,100.08,108,91.52,114.6,108.33,7,6.4,7.2,6.8,6.6,7.4,6,6.2,1.2,970,10382.962890625
4094,3.3,9.5,18,11.4,11.4,29,31,0.27,-0.79,97.33,97.1,101.4,103.5,94.37,96.72,92.61,93.36,7.6,7.4,7.4,6.2,7,6.8,7.8,7.2,1.8,926,10619.9326171875
7472,4.2,1.2,4.5,2.5,10.4,28,31.5,3.6,0,68.37,98.39,103.22,92.51,110.06,99.6,101.6,99.09,6,7,7.2,7.4,6,7,8,6.8,1.7,926,17150.53515625
14252,19.1,5.9,19.6,3.4,15.3,27,31.5,3.19,-7.23,98.33,97.02,98.98,98.2,102.92,101.29,100.19,96.92,7.4,7.4,7.2,6.2,6.4,7.2,6.4,7,1.3,1002,11456.4140625
12284,5.9,1.5,1.9,0.8,2.5,35,33,3.62,3.61,98.11,92.14,103.68,98.1,103.43,102.01,94.45,96.73,7.8,7,7.4,7.8,8,7.4,7,6.6,1.5,952,14822.1083984375
4912,21,5.3,34,4.5,18.4,28.5,33.5,22.42,0.3,96.92,97.91,152.65,155.38,141.25,144.72,102.5,102.4,7,7.8,7,6,7.4,7.4,7.2,7,1.2,904,12331.04296875
16188,5.3,13.9,0.1,12.6,0.4,27,26,-13.39,0.91,96.25,90.34,94.86,92.34,90.42,85.78,93.31,80.8,6.2,7.4,7.8,7.8,6.2,6.6,8,6.4,1.8,992,17852.328125
12946,1.4,2.9,5.8,1.3,7.9,31,30,3.5,0,68.11,98.39,99.98,94.21,108.51,101.3,99.5,100.57,7.4,7.2,6,7.4,7.4,6.6,7.2,6,1.6,976,16573.009765625
17101,2.6,5.4,1.9,3.6,2.9,29,30.5,3.48,4.04,100.49,91.68,105.38,100.4,100.77,102.82,93.42,96.53,8,6.4,7.4,7.4,7.4,6.2,7.4,6.4,1.7,1044,21350.341796875
918,8.2,12,24.8,14,8.3,25.5,34.5,-3.62,-5.26,99.8,99.48,105.06,102.1,96.33,92.36,110.22,108.52,6.2,7.2,6.8,6.2,6.6,8,7.2,6.6,1.2,926,10279.3310546875
6707,16.4,3.8,22,8.3,17.9,34,32,3.18,-7.92,97.75,98.78,96.82,97.51,102.31,101.59,97.61,98.49,6.4,7.4,7,6.6,7.6,7.8,6,6.8,1.4,968,9515.673828125
16617,8.8,9,13.1,6.5,6.5,32.5,31.5,19.88,-2.75,97.12,98.29,128.41,127.82,128.93,128.97,102.48,102.5,7.4,8,6.2,7.8,6.4,6.6,6.4,6.8,1.8,958,12420.759765625
4709,4.6,6.7,19,7.3,3.1,30,26.5,0.23,0.99,100.69,96.23,97.42,98.5,100.28,103.12,96.07,103.48,7,8,7.6,7.8,6.8,6.8,7.6,7.8,1.3,988,11164.4130859375
1747,8.3,14.3,22.8,13.3,11,34.5,33.5,0.28,-0.87,94.75,96.25,100.09,106.56,95.14,96.62,94.02,95.9,7.4,6.6,7.6,6.2,6.8,6.6,7.2,7.8,1.4,1014,11599.57421875
7186,5.5,2.7,0.9,2.4,4.6,32.5,27.5,4.14,3.11,97.18,106.88,86.01,102.87,99.56,106.12,89.87,101.2,6.2,6.8,6.2,8,6,7.8,7.4,8,1.7,1040,15935.2490234375
348,6.4,9.8,28.5,14.5,6.7,26,31.5,-3.3,-4.8,98.21,98.1,104.33,101.07,97.11,93.57,109.78,107.14,7.2,7.4,7.6,7.2,6.8,7,7.2,8,1.4,964,11437.533203125
10923,4.3,2.4,1.8,0.7,10,26.5,35,2.98,4.35,129.16,112.07,124.3,124.55,123.79,126.73,112.37,115.03,6.2,6.2,8,6.4,7.2,6.2,6.8,7.4,1.4,1028,10689.8310546875
11299,3.4,7.2,17.5,3.5,1.4,27.5,34.5,0.24,0.99,101.3,96.62,98.01,99.2,97.02,103.12,93.68,102.13,7,7,7,7.6,6.2,6.6,7.2,7.4,1.7,942,15381.6396484375
2856,3.6,10.6,17.3,11.6,8.5,34.5,28.5,0.3,-0.88,97.33,96.63,100.09,104.98,96.58,97.6,94.78,95.24,7.6,7.4,6.4,7.8,6.4,6.4,6.2,6,1.8,938,13390.1328125
4335,6.9,4.2,0.6,2.6,3,33,28,4.15,0.74,104.75,104.05,99.6,97.42,107.25,92.17,111.11,108.01,6.2,6,6.4,6.4,7.8,7.2,7.6,7,1.5,966,11276.1806640625
13292,7.2,6.4,11.2,4.4,1.6,33.5,33.5,2.71,1.98,98.01,100.16,105.15,102.57,101.53,97.32,100.4,99.3,6.4,6.2,7.2,7,6.6,8,6.4,7.2,1.5,980,13227.4619140625
5621,2,10.2,3.6,9.3,3.1,27.5,33,0,-4.24,119.26,112.5,88.88,105.54,99.59,118.45,82.1,92.32,8,8,7.4,7.4,7.4,6.6,7.4,6.6,1.3,1028,7201.30029296875
15054,4.5,1.7,2.2,0.5,9.5,27.5,34,2.8,4.5,128.51,111.62,120.49,126.07,123.79,124.83,109.72,117.13,6,8,7,6.6,7.4,6.6,6.8,6.8,1.4,998,11604.689453125
17073,1.1,3.5,1.3,6.9,4.5,32.5,33.5,1.82,-5.44,98.4,101.3,101.3,101.79,104.1,96.63,109.34,102.99,8,6.2,7,6.8,6.4,6,7.2,7.2,1.4,1042,7149.3955078125
15724,5.5,6.6,0.6,0.9,0.4,31.5,31.5,0.61,0,71.68,103.23,106.66,119.18,94.19,110.45,95.55,66.55,7.4,7.8,6.6,8,6.4,7.8,7.2,6.2,1.7,928,19482.23828125
16049,11.3,12.2,26,12.1,7.7,30,30.5,-3.77,-5.13,98.41,100.07,105.26,101.28,97.4,92.08,112,107.46,6.8,7.8,8,8,7,7.6,7.2,6.8,1.5,1008,14910.525390625
11106,2.2,1.1,1.6,4,0.8,27,29.5,3.55,3.92,100.19,94.18,106.33,98,104.04,101.2,92.11,100.07,6.8,7,7.6,6.2,7.4,7,7.2,7.4,1.6,1034,11347.3935546875
1641,0.7,4.2,2.4,3.5,2.7,31.5,25,2.12,-4.58,98.11,102.31,100.39,103.22,103.99,96.72,105.58,101.54,7.4,6.8,7.6,7.2,6.4,7.6,6,6.4,1.2,1054,9887.1337890625
1218,8.4,6.7,12.1,11.3,6.3,27,31.5,19.68,-3.07,97.32,98.97,131.8,130.43,129.44,128.46,101.25,102.6,7.4,7.2,8,6.8,7.4,6.6,6.4,7.2,1.2,948,5891.345703125
4451,3.4,1.1,1.4,4.6,6,30.5,32.5,4.3,6.49,101.3,92.32,103.43,96.83,102.59,97.8,97.77,101.6,6,7.2,6.6,7.2,7.6,6.4,7.2,7.2,1.6,1024,11999.3701171875
3812,19,6.4,20.4,6.7,17.3,31,28,3.5,-8.03,96.69,99.86,99.76,98.2,102.62,98.9,100.89,98.4,8,7.2,7.4,7.2,7.4,6.4,7.2,7.2,1.5,910,16945.1484375
10679,19.2,5.2,22.4,2.9,18.4,34.5,30.5,3.13,-7.82,97.75,99.86,97.9,100.07,102.01,101.29,100.59,98,6.2,7.6,6.6,6,6.8,8,7,6.8,1.3,918,13169.6748046875
15582,7.8,6.8,16,4.9,4.4,31.5,26,2.62,2.09,98.7,98.79,102.34,104.95,103.29,99,100.3,98.2,6.4,7.2,6.8,7.6,7.4,8,7,7.2,1.7,1048,16059.9072265625
